module,function,timing,time
[RLC],nr_rlc_entity_am_generate_pdu,start,5355591518 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355591520 
[SDAP],sdap_data_req,start,5355591527 
[RLC],generate_tx_pdu,start,5355591529 
[SDAP],nr_sdap_tx_entity,start,5355591531 
[RLC],serialize_sdu,start,5355591534 
[PDCP],nr_pdcp_data_req_drb,start,5355591536 
[RLC],serialize_sdu,end,5355591584 
[PDCP],deliver_pdu_drb_gnb,start,5355591587 
[RLC],generate_tx_pdu,end,5355591589 
[PDCP],enqueue_rlc_data_req,start,5355591592 
[PDCP],enqueue_rlc_data_req,end,5355591594 
[PDCP],deliver_pdu_drb_gnb,end,5355591596 
[PDCP],nr_pdcp_data_req_drb,end,5355591598 
[SDAP],nr_sdap_tx_entity,end,5355591599 
[SDAP],sdap_data_req,end,5355591606 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355591604 
[SDAP],sdap_data_req,start,5355591610 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355591622 
[SDAP],nr_sdap_tx_entity,start,5355591624 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355591628 
[PDCP],nr_pdcp_data_req_drb,start,5355591635 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355591640 
[PDCP],deliver_pdu_drb_gnb,start,5355591644 
[PDCP],enqueue_rlc_data_req,start,5355591653 
[PDCP],enqueue_rlc_data_req,end,5355591656 
[PDCP],deliver_pdu_drb_gnb,end,5355591659 
[PDCP],nr_pdcp_data_req_drb,end,5355591664 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355591664 
[SDAP],nr_sdap_tx_entity,end,5355591667 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355591673 
[SDAP],sdap_data_req,end,5355591676 
[SDAP],sdap_data_req,start,5355591746 
[SDAP],nr_sdap_tx_entity,start,5355591749 
[PDCP],nr_pdcp_data_req_drb,start,5355591751 
[PDCP],deliver_pdu_drb_gnb,start,5355591753 
[PDCP],enqueue_rlc_data_req,start,5355591756 
[PDCP],enqueue_rlc_data_req,end,5355591757 
[PDCP],deliver_pdu_drb_gnb,end,5355591759 
