count,time,size
175,0.0021009445190429688,960
176,0.002114534378051758,1024
177,0.0018546581268310547,64
178,0.002319812774658203,128
179,0.0017621517181396484,192
180,0.002239227294921875,256
181,0.0019865036010742188,320
182,0.00244903564453125,384
183,0.0021266937255859375,448
184,0.0018267631530761719,512
185,0.0017104148864746094,576
186,0.0019638538360595703,640
187,0.001878499984741211,704
188,0.002305746078491211,768
189,0.002396821975708008,832
190,0.0016710758209228516,896
191,0.002124309539794922,960
192,0.0021212100982666016,1024
193,0.001992940902709961,64
194,0.001710653305053711,128
195,0.0020568370819091797,192
196,0.0017328262329101562,256
197,0.0016469955444335938,320
198,0.0018537044525146484,384
199,0.001870870590209961,448
200,0.001978158950805664,512
201,0.0019521713256835938,576
202,0.0018765926361083984,640
203,0.001722097396850586,704
204,0.0019593238830566406,768
205,0.001939535140991211,832
206,0.002022981643676758,896
207,0.002162456512451172,960
208,0.0018699169158935547,1024
209,0.001697540283203125,64
210,0.001997232437133789,128
211,0.001964092254638672,192
212,0.0016438961029052734,256
213,0.0020732879638671875,320
214,0.0020415782928466797,384
215,0.002001047134399414,448
216,0.0019063949584960938,512
217,0.005152463912963867,576
218,0.002062082290649414,640
219,0.0021762847900390625,704
220,0.0017855167388916016,768
221,0.0018253326416015625,832
222,0.0019719600677490234,896
223,0.0018184185028076172,960
224,0.001909017562866211,1024
225,0.0021898746490478516,64
226,0.001680612564086914,128
227,0.0018115043640136719,192
228,0.0019121170043945312,256
229,0.0018627643585205078,320
230,0.00199127197265625,384
231,0.0016589164733886719,448
232,0.0018527507781982422,512
233,0.0018134117126464844,576
234,0.0017533302307128906,640
235,0.002142667770385742,704
236,0.0019788742065429688,768
237,0.0020246505737304688,832
238,0.0020024776458740234,896
239,0.0018436908721923828,960
240,0.002245664596557617,1024
241,0.0018658638000488281,64
242,0.002211332321166992,128
243,0.002205371856689453,192
244,0.0019540786743164062,256
245,0.002288818359375,320
246,0.0019268989562988281,384
247,0.001960277557373047,448
248,0.0018157958984375,512
249,0.001809835433959961,576
250,0.0018765926361083984,640
251,0.0017437934875488281,704
252,0.0019617080688476562,768
253,0.002218961715698242,832
254,0.002338886260986328,896
255,0.002195596694946289,960
256,0.0019845962524414062,1024
257,0.0020596981048583984,64
258,0.0016639232635498047,128
259,0.001828908920288086,192
260,0.0021376609802246094,256
261,0.0017228126525878906,320
262,0.001988649368286133,384
263,0.001718282699584961,448
264,0.0019073486328125,512
265,0.0019872188568115234,576
266,0.002111196517944336,640
267,0.001997232437133789,704
268,0.0019948482513427734,768
269,0.0016846656799316406,832
270,0.0019152164459228516,896
271,0.0019421577453613281,960
272,0.001821756362915039,1024
273,0.0020437240600585938,64
274,0.002264261245727539,128
275,0.0017595291137695312,192
276,0.0021409988403320312,256
277,0.0021560192108154297,320
278,0.0018661022186279297,384
279,0.0017864704132080078,448
280,0.001987457275390625,512
281,0.0019588470458984375,576
282,0.0017406940460205078,640
283,0.001975536346435547,704
284,0.0019817352294921875,768
285,0.002005338668823242,832
286,0.0022406578063964844,896
287,0.002172231674194336,960
288,0.0023734569549560547,1024
289,0.0017542839050292969,64
290,0.0017943382263183594,128
291,0.002170562744140625,192
292,0.001760244369506836,256
293,0.0019516944885253906,320
294,0.0019233226776123047,384
295,0.0021505355834960938,448
296,0.0017864704132080078,512
297,0.0017936229705810547,576
298,0.0017123222351074219,640
299,0.002267122268676758,704
300,0.0023903846740722656,768
301,0.0024886131286621094,832
302,0.0018219947814941406,896
303,0.002024412155151367,960
304,0.001979827880859375,1024
305,0.0019965171813964844,64
306,0.0018150806427001953,128
307,0.0017495155334472656,192
308,0.001749277114868164,256
309,0.0017631053924560547,320
310,0.001764535903930664,384
311,0.0019240379333496094,448
312,0.0021448135375976562,512
313,0.0019066333770751953,576
314,0.0025877952575683594,640
315,0.0022668838500976562,704
