module,function,timing,time
[RLC],nr_rlc_entity_am_recv_sdu,end,161018129 
[RLC],rlc_data_req,end,161018135 
[RLC],rlc_data_req_thread,end,161018141 
[RLC],nr_rlc_entity_am_generate_pdu,start,161018230 
[RLC],nr_rlc_entity_am_generate_pdu,end,161018242 
[RLC],generate_tx_pdu,start,161018247 
[RLC],serialize_sdu,start,161018253 
[RLC],serialize_sdu,end,161018259 
[RLC],generate_tx_pdu,end,161018271 
[SDAP],sdap_data_req,start,161193914 
[SDAP],nr_sdap_tx_entity,start,161194125 
[PDCP],nr_pdcp_data_req_drb,start,161194141 
[PDCP],deliver_pdu_drb_gnb,start,161194149 
[PDCP],enqueue_rlc_data_req,start,161194159 
[PDCP],enqueue_rlc_data_req,end,161194168 
[PDCP],deliver_pdu_drb_gnb,end,161194182 
[PDCP],nr_pdcp_data_req_drb,end,161194190 
[SDAP],nr_sdap_tx_entity,end,161194351 
[SDAP],sdap_data_req,end,161194366 
[RLC],rlc_data_req_thread,start,161194383 
[RLC],rlc_data_req,start,161194427 
[RLC],nr_rlc_entity_am_recv_sdu,start,161194434 
[RLC],nr_rlc_entity_am_recv_sdu,end,161194441 
[RLC],rlc_data_req,end,161194447 
[RLC],rlc_data_req_thread,end,161194453 
[RLC],nr_rlc_entity_am_generate_pdu,start,161194887 
[RLC],nr_rlc_entity_am_generate_pdu,end,161194901 
[RLC],generate_tx_pdu,start,161194907 
[RLC],serialize_sdu,start,161194919 
[RLC],serialize_sdu,end,161194925 
[RLC],generate_tx_pdu,end,161194931 
[SDAP],sdap_data_req,start,161371907 
[SDAP],nr_sdap_tx_entity,start,161371994 
[PDCP],nr_pdcp_data_req_drb,start,161372030 
[PDCP],deliver_pdu_drb_gnb,start,161372037 
[PDCP],enqueue_rlc_data_req,start,161372046 
[PDCP],enqueue_rlc_data_req,end,161372053 
[PDCP],deliver_pdu_drb_gnb,end,161372063 
[RLC],rlc_data_req_thread,start,161372057 
[PDCP],nr_pdcp_data_req_drb,end,161372068 
[RLC],rlc_data_req,start,161372087 
[RLC],nr_rlc_entity_am_recv_sdu,start,161372121 
[SDAP],nr_sdap_tx_entity,end,161372106 
[RLC],nr_rlc_entity_am_recv_sdu,end,161372134 
[SDAP],sdap_data_req,end,161372150 
[RLC],rlc_data_req,end,161372487 
[RLC],rlc_data_req_thread,end,161372494 
[RLC],nr_rlc_entity_am_generate_pdu,start,161372738 
[RLC],nr_rlc_entity_am_generate_pdu,end,161372751 
[RLC],generate_tx_pdu,start,161372757 
[RLC],serialize_sdu,start,161372763 
[RLC],serialize_sdu,end,161372774 
[RLC],generate_tx_pdu,end,161372780 
[SDAP],sdap_data_req,start,161550579 
[SDAP],nr_sdap_tx_entity,start,161550667 
[PDCP],nr_pdcp_data_req_drb,start,161550676 
[PDCP],deliver_pdu_drb_gnb,start,161550773 
[PDCP],enqueue_rlc_data_req,start,161550781 
[PDCP],enqueue_rlc_data_req,end,161550805 
[RLC],rlc_data_req_thread,start,161550809 
[PDCP],deliver_pdu_drb_gnb,end,161550826 
[RLC],rlc_data_req,start,161551001 
[PDCP],nr_pdcp_data_req_drb,end,161551012 
[RLC],nr_rlc_entity_am_recv_sdu,start,161551022 
[SDAP],nr_sdap_tx_entity,end,161551037 
[SDAP],sdap_data_req,end,161551116 
[RLC],nr_rlc_entity_am_recv_sdu,end,161551208 
[RLC],rlc_data_req,end,161551216 
[RLC],rlc_data_req_thread,end,161551222 
[RLC],nr_rlc_entity_am_generate_pdu,start,161551237 
[RLC],nr_rlc_entity_am_generate_pdu,end,161551254 
[RLC],generate_tx_pdu,start,161551260 
[RLC],serialize_sdu,start,161551267 
[RLC],serialize_sdu,end,161551273 
[RLC],generate_tx_pdu,end,161551279 
[SDAP],sdap_data_req,start,161728113 
[SDAP],nr_sdap_tx_entity,start,161728310 
[PDCP],nr_pdcp_data_req_drb,start,161728326 
[PDCP],deliver_pdu_drb_gnb,start,161728333 
[PDCP],enqueue_rlc_data_req,start,161728343 
[PDCP],enqueue_rlc_data_req,end,161728533 
[PDCP],deliver_pdu_drb_gnb,end,161728556 
[PDCP],nr_pdcp_data_req_drb,end,161728567 
[SDAP],nr_sdap_tx_entity,end,161728573 
[SDAP],sdap_data_req,end,161728579 
[RLC],rlc_data_req_thread,start,161728560 
[RLC],rlc_data_req,start,161728732 
[RLC],nr_rlc_entity_am_recv_sdu,start,161728741 
[RLC],nr_rlc_entity_am_recv_sdu,end,161728749 
[RLC],rlc_data_req,end,161728755 
[RLC],rlc_data_req_thread,end,161728761 
[RLC],nr_rlc_entity_am_generate_pdu,start,161729309 
[RLC],nr_rlc_entity_am_generate_pdu,end,161729326 
[RLC],generate_tx_pdu,start,161729333 
[RLC],serialize_sdu,start,161729344 
[RLC],serialize_sdu,end,161729350 
[RLC],generate_tx_pdu,end,161729356 
[SDAP],sdap_data_req,start,161906051 
[SDAP],nr_sdap_tx_entity,start,161906258 
[PDCP],nr_pdcp_data_req_drb,start,161906270 
[PDCP],deliver_pdu_drb_gnb,start,161906285 
[PDCP],enqueue_rlc_data_req,start,161906432 
[PDCP],enqueue_rlc_data_req,end,161906449 
[PDCP],deliver_pdu_drb_gnb,end,161906456 
[PDCP],nr_pdcp_data_req_drb,end,161906463 
[SDAP],nr_sdap_tx_entity,end,161906469 
[SDAP],sdap_data_req,end,161906474 
[RLC],rlc_data_req_thread,start,161906923 
[RLC],rlc_data_req,start,161906943 
[RLC],nr_rlc_entity_am_recv_sdu,start,161906995 
[RLC],nr_rlc_entity_am_recv_sdu,end,161907002 
[RLC],rlc_data_req,end,161907008 
[RLC],rlc_data_req_thread,end,161907014 
[RLC],nr_rlc_entity_am_generate_pdu,start,161907144 
[RLC],nr_rlc_entity_am_generate_pdu,end,161907163 
[RLC],generate_tx_pdu,start,161907170 
[RLC],serialize_sdu,start,161907177 
[RLC],serialize_sdu,end,161907183 
[RLC],generate_tx_pdu,end,161907189 
[SDAP],sdap_data_req,start,162083888 
[SDAP],nr_sdap_tx_entity,start,162084168 
[PDCP],nr_pdcp_data_req_drb,start,162084178 
[PDCP],deliver_pdu_drb_gnb,start,162084185 
[PDCP],enqueue_rlc_data_req,start,162084198 
[PDCP],enqueue_rlc_data_req,end,162084206 
[PDCP],deliver_pdu_drb_gnb,end,162084212 
[RLC],rlc_data_req_thread,start,162084218 
[PDCP],nr_pdcp_data_req_drb,end,162084223 
[SDAP],nr_sdap_tx_entity,end,162084511 
[SDAP],sdap_data_req,end,162084746 
[RLC],rlc_data_req,start,162084949 
[RLC],nr_rlc_entity_am_recv_sdu,start,162084964 
[RLC],nr_rlc_entity_am_recv_sdu,end,162085283 
[RLC],rlc_data_req,end,162085291 
[RLC],rlc_data_req_thread,end,162085298 
[RLC],nr_rlc_entity_am_generate_pdu,start,162085368 
[RLC],nr_rlc_entity_am_generate_pdu,end,162085434 
[RLC],generate_tx_pdu,start,162085440 
[RLC],serialize_sdu,start,162085446 
[RLC],serialize_sdu,end,162085452 
[RLC],generate_tx_pdu,end,162085464 
[SDAP],sdap_data_req,start,162261976 
[SDAP],nr_sdap_tx_entity,start,162262123 
[PDCP],nr_pdcp_data_req_drb,start,162262247 
[PDCP],deliver_pdu_drb_gnb,start,162262255 
[PDCP],enqueue_rlc_data_req,start,162262323 
[PDCP],enqueue_rlc_data_req,end,162262373 
[PDCP],deliver_pdu_drb_gnb,end,162262411 
[PDCP],nr_pdcp_data_req_drb,end,162262432 
[SDAP],nr_sdap_tx_entity,end,162262437 
[SDAP],sdap_data_req,end,162262443 
[RLC],rlc_data_req_thread,start,162262534 
[RLC],rlc_data_req,start,162262555 
[RLC],nr_rlc_entity_am_recv_sdu,start,162262611 
[RLC],nr_rlc_entity_am_recv_sdu,end,162262623 
[RLC],rlc_data_req,end,162262630 
[RLC],nr_rlc_entity_am_generate_pdu,start,162262642 
[RLC],rlc_data_req_thread,end,162262697 
[RLC],nr_rlc_entity_am_generate_pdu,end,162262729 
[RLC],generate_tx_pdu,start,162262757 
[RLC],serialize_sdu,start,162262764 
[RLC],serialize_sdu,end,162262770 
[RLC],generate_tx_pdu,end,162262776 
[SDAP],sdap_data_req,start,162439801 
[SDAP],nr_sdap_tx_entity,start,162439872 
[PDCP],nr_pdcp_data_req_drb,start,162439982 
[PDCP],deliver_pdu_drb_gnb,start,162439991 
[PDCP],enqueue_rlc_data_req,start,162440015 
[PDCP],enqueue_rlc_data_req,end,162440100 
[PDCP],deliver_pdu_drb_gnb,end,162440169 
[RLC],rlc_data_req_thread,start,162440163 
[PDCP],nr_pdcp_data_req_drb,end,162440174 
[SDAP],nr_sdap_tx_entity,end,162440390 
[SDAP],sdap_data_req,end,162440398 
[RLC],rlc_data_req,start,162440376 
[RLC],nr_rlc_entity_am_recv_sdu,start,162440561 
[RLC],nr_rlc_entity_am_recv_sdu,end,162440578 
[RLC],rlc_data_req,end,162440585 
[RLC],rlc_data_req_thread,end,162440590 
[RLC],nr_rlc_entity_am_generate_pdu,start,162441062 
[RLC],nr_rlc_entity_am_generate_pdu,end,162441076 
[RLC],generate_tx_pdu,start,162441082 
[RLC],serialize_sdu,start,162441088 
[RLC],serialize_sdu,end,162441109 
[RLC],generate_tx_pdu,end,162441114 
[SDAP],sdap_data_req,start,162617246 
[SDAP],nr_sdap_tx_entity,start,162617372 
[PDCP],nr_pdcp_data_req_drb,start,162617381 
[PDCP],deliver_pdu_drb_gnb,start,162617389 
[PDCP],enqueue_rlc_data_req,start,162617397 
[PDCP],enqueue_rlc_data_req,end,162617410 
[PDCP],deliver_pdu_drb_gnb,end,162617419 
[PDCP],nr_pdcp_data_req_drb,end,162617431 
[SDAP],nr_sdap_tx_entity,end,162617534 
[SDAP],sdap_data_req,end,162617542 
[RLC],rlc_data_req_thread,start,162617414 
[RLC],rlc_data_req,start,162617662 
[RLC],nr_rlc_entity_am_recv_sdu,start,162617770 
[RLC],nr_rlc_entity_am_recv_sdu,end,162617779 
[RLC],rlc_data_req,end,162617785 
[RLC],rlc_data_req_thread,end,162617791 
[RLC],nr_rlc_entity_am_generate_pdu,start,162618656 
[RLC],nr_rlc_entity_am_generate_pdu,end,162618673 
[RLC],generate_tx_pdu,start,162618680 
[RLC],serialize_sdu,start,162618687 
[RLC],serialize_sdu,end,162618693 
[RLC],generate_tx_pdu,end,162618699 
[SDAP],sdap_data_req,start,162794113 
[SDAP],nr_sdap_tx_entity,start,162794253 
[PDCP],nr_pdcp_data_req_drb,start,162794262 
[PDCP],deliver_pdu_drb_gnb,start,162794269 
[PDCP],enqueue_rlc_data_req,start,162794544 
[PDCP],enqueue_rlc_data_req,end,162794570 
[PDCP],deliver_pdu_drb_gnb,end,162794576 
[PDCP],nr_pdcp_data_req_drb,end,162794686 
[SDAP],nr_sdap_tx_entity,end,162794692 
[SDAP],sdap_data_req,end,162794700 
[RLC],rlc_data_req_thread,start,162794910 
[RLC],rlc_data_req,start,162794937 
[RLC],nr_rlc_entity_am_recv_sdu,start,162795020 
[RLC],nr_rlc_entity_am_recv_sdu,end,162795028 
[RLC],rlc_data_req,end,162795034 
[RLC],rlc_data_req_thread,end,162795040 
[RLC],nr_rlc_entity_am_generate_pdu,start,162795284 
[RLC],nr_rlc_entity_am_generate_pdu,end,162795304 
[RLC],generate_tx_pdu,start,162795310 
[RLC],serialize_sdu,start,162795316 
[RLC],serialize_sdu,end,162795322 
[RLC],generate_tx_pdu,end,162795328 
[SDAP],sdap_data_req,start,162970813 
[SDAP],nr_sdap_tx_entity,start,162971367 
[PDCP],nr_pdcp_data_req_drb,start,162971501 
[PDCP],deliver_pdu_drb_gnb,start,162971510 
[PDCP],enqueue_rlc_data_req,start,162971518 
[PDCP],enqueue_rlc_data_req,end,162971526 
[PDCP],deliver_pdu_drb_gnb,end,162971537 
[RLC],rlc_data_req_thread,start,162971531 
[PDCP],nr_pdcp_data_req_drb,end,162971542 
[SDAP],nr_sdap_tx_entity,end,162971610 
[SDAP],sdap_data_req,end,162971618 
